name, error, solveTime, deltaPeakMem(Bytes), size, patternEntries
ex19 , 4.539577976574175e-08 , 0.043242692947387695 , 23482368,144120025,259879
graham1 , 2.9073318901522376e-06 , 0.35323643684387207 , 68849664, 81631225,335504
PR02R , 0.027836185184480697 , 80.19686222076416 , 3678883840, 25943544900, 8185136
kim2 , 3.168638602732523e-08 , 95.74594449996948 , 6584180736,208827064576,11330020
raefsky3 , 3.613193155616641e-11 , 1.9735374450683594 , 245014528,449440000,1488768
water_tank , 1.2167452208318949e-09 , 41.66090703010559 , 1781706752,3689347600,2035281
ex15 , 1.203950706270593e-06 , 0.03648638725280762 , 14733312,47155689, 98671
shallow_water1 , 2.542902854468337e-16 , 1.2890584468841553 , 150745088,6710886400, 327680
parabolic_fem , 8.309325364062647e-13 , 13.242125988006592 , 1396707328, 276491930625, 3674625
cfd1 , 1.9873785860299976e-13 , 20.59451723098755 ,1452584960,4992270336, 1828364
cfd2 , 4.71874359820738e-13 , 79.27453374862671 , 3015266304,15237433600, 3087898
